datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120426_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120428_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120425_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120427_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120422_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120432_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120424_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand,P100000120421_bf_bof_hybrid_hydrogen_natural_gas_electrolyser_steel_demand
2030-04-27 19:15:00,94.602,14.069,0.0,0.221,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 19:30:00,94.602,14.069,0.0,0.221,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 19:45:00,94.602,14.069,0.0,0.221,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 20:00:00,94.602,11.653,0.0,1.778,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 20:15:00,94.602,11.653,0.0,1.778,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 20:30:00,94.602,11.653,0.0,1.778,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 20:45:00,94.602,11.653,0.0,1.778,54.20093645252248,52.7012576241976,63.18040478457733,142.742838456398,77.51477809806063,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 21:00:00,94.602,11.653,0.0,2.198,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 21:15:00,94.602,11.653,0.0,2.198,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
2030-04-27 21:30:00,94.602,11.653,0.0,2.198,54.20093644526874,52.70125735556587,63.18040485254004,142.742838456398,77.50181957778729,225.0,100.0,37.201544837814,101.2509121918965,32.661584578031,58.790852240456,26.12926766242475,120.2803571884035,71.30023912353225,148.91853747135676,257.7436225465775
