block_id,block_start,block_end,block_duration_h,capacity_price_input_unit,capacity_price_raw,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,capacity_pricing_rule,opportunity_cost_EUR_per_MW_h,capacity_bid_price_EUR_per_MW_h,capacity_clearing_price_EUR_per_MW_h,capacity_settlement_price_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,capacity_opportunity_cost_EUR,capacity_market_surplus_EUR,capacity_net_value_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-05-11_16:00_20:00,2025-05-11 16:00:00+02:00,2025-05-11 20:00:00+02:00,4.0,EUR_per_MW_per_h,37.0,37.0,False,False,16,pay_as_bid,29.955482352941182,37.0,37.0,37.0,True,True,True,True,True,4,0,0,16.470964705882366,54.768,10.0,10.0,1.0,10.0,1480.0,1198.2192941176472,0.0,281.7807058823528,10.0,184.90676594659814,7.5169999999999995,-37.39461999999999
2025-05-11_20:00_00:00,2025-05-11 20:00:00+02:00,2025-05-12 00:00:00+02:00,4.0,EUR_per_MW_per_h,1.69,1.69,False,False,16,pay_as_bid,0.0,1.69,1.69,1.69,True,True,False,True,False,16,3,0,-13.029035294117634,122.96,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,196.58485599501518,24.569,607.34022
2025-05-12_00:00_04:00,2025-05-12 00:00:00+02:00,2025-05-12 04:00:00+02:00,4.0,EUR_per_MW_per_h,8.76,8.76,False,False,16,pay_as_bid,0.0,8.76,8.76,8.76,True,True,False,True,False,6,4,0,-20.629035294117628,10.012,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,202.5394487691984,2.743,112.05706
2025-05-12_04:00_08:00,2025-05-12 04:00:00+02:00,2025-05-12 08:00:00+02:00,4.0,EUR_per_MW_per_h,31.04,31.04,False,False,16,pay_as_bid,0.0,31.04,31.04,31.04,True,True,False,True,False,10,1,0,-26.809035294117635,160.348,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,197.58894235511042,16.165,371.3474
2025-05-12_08:00_12:00,2025-05-12 08:00:00+02:00,2025-05-12 12:00:00+02:00,4.0,EUR_per_MW_per_h,431.72,431.72,False,False,16,pay_as_bid,26.16048235294118,431.72,431.72,431.72,True,True,True,True,True,16,0,0,37.660964705882364,681.344,10.0,10.0,1.0,10.0,17268.800000000003,1046.4192941176473,0.0,16222.380705882355,10.0,186.55341839022682,40.0,-204.95
2025-05-12_12:00_16:00,2025-05-12 12:00:00+02:00,2025-05-12 16:00:00+02:00,4.0,EUR_per_MW_per_h,675.0,675.0,False,False,16,pay_as_bid,75.23346470588235,675.0,675.0,675.0,True,True,False,True,False,15,1,0,-30.90903529411763,327.188,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,177.26249547038825,5.0,19.85
2025-05-12_16:00_20:00,2025-05-12 16:00:00+02:00,2025-05-12 20:00:00+02:00,4.0,EUR_per_MW_per_h,475.73,475.73,False,False,16,pay_as_bid,12.65524117647059,475.73,475.73,475.73,True,True,False,True,False,10,3,0,-21.609035294117646,300.052,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,192.51536075220136,17.5,133.875
2025-05-12_20:00_00:00,2025-05-12 20:00:00+02:00,2025-05-13 00:00:00+02:00,4.0,EUR_per_MW_per_h,34.0,34.0,False,False,16,pay_as_bid,0.0,34.0,34.0,34.0,True,True,False,True,False,16,7,0,-27.14903529411764,221.856,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,195.94340845910978,18.687,411.81386000000003
2025-05-13_00:00_04:00,2025-05-13 00:00:00+02:00,2025-05-13 04:00:00+02:00,4.0,EUR_per_MW_per_h,29.64,29.64,False,False,16,pay_as_bid,0.0,29.64,29.64,29.64,True,True,False,True,False,8,7,0,-54.16903529411765,50.56,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,202.86555859457184,2.5,100.19999999999999
2025-05-13_04:00_08:00,2025-05-13 04:00:00+02:00,2025-05-13 08:00:00+02:00,4.0,EUR_per_MW_per_h,14.15,14.15,False,False,16,pay_as_bid,0.0,14.15,14.15,14.15,True,True,False,True,False,12,10,0,-39.66903529411765,216.728,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.04948611403324,2.5,102.07499999999999
