Hour;T2
3443;28,46554425
3444;28,46554425
3445;28,46554425
3446;28,46554425
3447;28,46554425
3448;28,46554425
3449;28,46554425
3450;28,46554425
3451;28,46554425
3452;28,46554425
3453;28,46554425
3454;28,46554425
3455;28,46554425
3456;28,46554425
3457;28,7089549
3458;28,7089549
3459;28,7089549
3460;28,7089549
3461;28,7089549
3462;28,7089549
3463;28,7089549
3464;28,7089549
3465;28,7089549
3466;28,7089549
3467;28,7089549
3468;28,7089549
3469;28,7089549
3470;28,7089549
3471;28,7089549
3472;28,7089549
3473;28,7089549
3474;28,7089549
3475;28,7089549
3476;28,7089549
3477;28,7089549
3478;28,7089549
3479;28,7089549
3480;28,7089549
3481;20,40612621
3482;20,40612621
3483;20,40612621
3484;20,40612621
3485;20,40612621
3486;20,40612621
3487;20,40612621
3488;86,93009766
3489;97,79635986
3490;108,6626221
3491;108,6626221
3492;130,3951465
3493;130,3951465
3494;86,93009766
3495;130,3951465
3496;130,3951465
3497;76,06383545
3498;21,73252441
3499;21,42643252
3500;21,42643252
3501;21,42643252
3502;21,42643252
3503;21,42643252
3504;21,42643252
3505;13,6787571
3506;20,84382035
3507;20,84382035
3508;20,84382035
3509;20,84382035
3510;20,84382035
3511;20,84382035
3512;87,86973015
3513;98,04411996
3514;108,2185098
3515;108,2185098
3516;129,4922339
3517;129,4922339
3518;86,01984109
3519;129,4922339
3520;129,4922339
3521;76,30792355
3522;32,56846929
3523;21,49518973
3524;21,49518973
3525;21,49518973
3526;21,49518973
3527;21,49518973
3528;21,49518973
3529;21,36331957
3530;21,36331957
3531;21,36331957
3532;21,36331957
3533;21,36331957
3534;21,36331957
3535;21,36331957
3536;87,33066091
3537;97,44263217
3538;107,5546034
3539;107,5546034
3540;128,6978161
3541;128,6978161
3542;85,49212068
3543;128,6978161
3544;128,6978161
3545;75,83978447
3546;32,36866601
3547;21,36331957
3548;21,36331957
3549;21,36331957
3550;21,36331957
3551;21,36331957
3552;21,36331957
3553;21,15169358
3554;21,15169358
3555;21,15169358
3556;21,15169358
3557;21,15169358
3558;21,15169358
3559;21,15169358
3560;86,46555951
3561;96,47736113
3562;106,4891628
3563;106,4891628
3564;127,4229298
3565;127,4229298
3566;84,64523194
3567;127,4229298
3568;127,4229298
3569;75,0885122
3570;32,04802057
3571;21,15169358
3572;21,15169358
3573;21,15169358
3574;21,15169358
3575;21,15169358
3576;21,15169358
3577;32,13340682
3578;19,47479201
3579;19,47479201
3580;19,47479201
3581;19,47479201
3582;19,47479201
3583;19,47479201
3584;82,96261396
3585;103,7032675
3586;114,0735942
3587;114,0735942
3588;134,8142477
3589;134,8142477
3590;93,33294071
3591;134,8142477
3592;103,7032675
3593;48,68698003
3594;32,13340682
3595;20,44853161
3596;19,47479201
3597;19,47479201
3598;19,47479201
3599;19,47479201
3600;19,47479201
3601;31,59242855
3602;28,4331857
3603;28,4331857
3604;28,4331857
3605;28,4331857
3606;28,4331857
3607;28,4331857
3608;28,4331857
3609;28,4331857
3610;28,4331857
3611;28,4331857
3612;28,4331857
3613;28,4331857
3614;28,4331857
3615;28,4331857
3616;28,4331857
3617;28,4331857
3618;28,4331857
3619;28,4331857
3620;28,4331857
3621;28,4331857
3622;28,4331857
3623;28,4331857
3624;28,4331857
3625;28,5559549
3626;28,5559549
3627;28,5559549
3628;28,5559549
3629;28,5559549
3630;28,5559549
3631;28,5559549
3632;28,5559549
3633;28,5559549
3634;28,5559549
3635;28,5559549
3636;28,5559549
3637;28,5559549
3638;28,5559549
3639;28,5559549
3640;28,5559549
3641;28,5559549
3642;28,5559549
3643;28,5559549
3644;28,5559549
3645;28,5559549
3646;28,5559549
3647;28,5559549
3648;28,5559549
3649;19,96873941
3650;19,96873941
3651;19,96873941
3652;19,96873941
3653;19,96873941
3654;19,96873941
3655;19,96873941
3656;85,06682989
3657;95,70018362
3658;106,3335374
3659;106,3335374
3660;127,6002448
3661;127,6002448
3662;85,06682989
3663;127,6002448
3664;127,6002448
3665;74,43347615
3666;21,26670747
3667;20,96717638
3668;20,96717638
3669;20,96717638
3670;20,96717638
3671;20,96717638
3672;20,96717638
3673;13,77278138
3674;20,98709544
3675;20,98709544
3676;20,98709544
3677;20,98709544
3678;20,98709544
3679;20,98709544
3680;88,47372419
3681;98,71805015
3682;108,9623761
3683;108,9623761
3684;130,3823304
3685;130,3823304
3686;86,61111947
3687;130,3823304
3688;130,3823304
3689;76,83244469
3690;32,79233662
3691;21,64294217
3692;21,64294217
3693;21,64294217
3694;21,64294217
3695;21,64294217
3696;21,64294217
3697;21,39587741
3698;21,39587741
3699;21,39587741
3700;21,39587741
3701;21,39587741
3702;21,39587741
3703;21,39587741
3704;87,46375343
3705;97,59113541
3706;107,7185174
3707;107,7185174
3708;128,8939524
3709;128,8939524
3710;85,62241125
3711;128,8939524
3712;128,8939524
3713;75,95536482
3714;32,41799608
3715;21,39587741
3716;21,39587741
3717;21,39587741
3718;21,39587741
3719;21,39587741
3720;21,39587741
3721;21,24936711
3722;21,24936711
3723;21,24936711
3724;21,24936711
3725;21,24936711
3726;21,24936711
3727;21,24936711
3728;86,86483708
3729;96,92287084
3730;106,9809046
3731;106,9809046
3732;128,0113388
3733;128,0113388
3734;85,03610366
3735;128,0113388
3736;128,0113388
3737;75,43525325
3738;32,19601078
3739;21,24936711
3740;21,24936711
3741;21,24936711
3742;21,24936711
3743;21,24936711
3744;21,24936711
3745;32,40713038
3746;19,64068508
3747;19,64068508
3748;19,64068508
3749;19,64068508
3750;19,64068508
3751;19,64068508
3752;83,66931844
3753;104,5866481
3754;115,0453129
3755;115,0453129
3756;135,9626425
3757;135,9626425
3758;94,12798325
3759;135,9626425
3760;104,5866481
3761;49,1017127
3762;32,40713038
3763;20,62271933
3764;19,64068508
3765;19,64068508
3766;19,64068508
3767;19,64068508
3768;19,64068508
3769;31,60223417
3770;28,44201076
3771;28,44201076
3772;28,44201076
3773;28,44201076
3774;28,44201076
3775;28,44201076
3776;28,44201076
3777;28,44201076
3778;28,44201076
3779;28,44201076
3780;28,44201076
3781;28,44201076
3782;28,44201076
3783;28,44201076
3784;28,44201076
3785;28,44201076
3786;28,44201076
3787;28,44201076
3788;28,44201076
3789;28,44201076
3790;28,44201076
3791;28,44201076
3792;28,44201076
3793;28,57664204
3794;28,57664204
3795;28,57664204
3796;28,57664204
3797;28,57664204
3798;28,57664204
3799;28,57664204
3800;28,57664204
3801;28,57664204
3802;28,57664204
3803;28,57664204
3804;28,57664204
3805;28,57664204
3806;28,57664204
3807;28,57664204
3808;28,57664204
3809;28,57664204
3810;28,57664204
3811;28,57664204
3812;28,57664204
3813;28,57664204
3814;28,57664204
3815;28,57664204
3816;28,57664204
3817;20,17181185
3818;20,17181185
3819;20,17181185
3820;20,17181185
3821;20,17181185
3822;20,17181185
3823;20,17181185
3824;85,93191849
3825;96,67340831
3826;107,4148981
3827;107,4148981
3828;128,8978777
3829;128,8978777
3830;85,93191849
3831;128,8978777
3832;128,8978777
3833;75,19042868
3834;21,48297962
3835;21,18040245
3836;21,18040245
3837;21,18040245
3838;21,18040245
3839;21,18040245
3840;21,18040245
3841;13,50115569
3842;20,57318962
