datetime,DE_DA_price,aFRR_capacity_down_price,aFRR_energy_down_price,aFRR_energy_down_quantity,coal_price,natural_gas_price,biomass_price,co2_price,hydrogen_price,iron_ore_price,lime_price,P100000120423_bf_bof_hydrogen_external_steel_demand,P100000120426_bf_bof_hydrogen_external_steel_demand,P100000120428_bf_bof_hydrogen_external_steel_demand,P100000120425_bf_bof_hydrogen_external_steel_demand,P100000120427_bf_bof_hydrogen_external_steel_demand,P100000120422_bf_bof_hydrogen_external_steel_demand,P100000120432_bf_bof_hydrogen_external_steel_demand,P100000120424_bf_bof_hydrogen_external_steel_demand,P100000120421_bf_bof_hydrogen_external_steel_demand
2045-06-26 20:45:00,42.683,54.066,-0.015734,23.594,11.86290954651272,27.15301522413644,39.37321939923677,-0.010222467389325,36.30497665972305,225.0,100.0,33.65879494113425,91.608660480231,29.5511808102,53.1921254355315,23.640944636745825,118.204723183729,64.5102276680605,138.89054973089424,242.319682523791
2045-06-26 21:00:00,31.286,54.066,-0.015734,109.6,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.65879494113425,91.608660480231,29.5511808102,53.1921254355315,23.640944636745825,118.204723183729,64.5102276680605,138.89054973089424,242.319682523791
2045-06-26 21:15:00,31.286,54.066,-0.015734,109.6,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.65879494113425,91.608660480231,29.5511808102,53.1921254355315,23.640944636745825,118.204723183729,64.5102276680605,138.89054973089424,242.319682523791
2045-06-26 21:30:00,31.286,54.066,-0.015734,109.6,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.65879494113425,91.608660480231,29.5511808102,53.1921254355315,23.640944636745825,118.204723183729,64.5102276680605,138.89054973089424,242.319682523791
2045-06-26 21:45:00,31.286,54.066,-0.015734,109.6,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.65879494113425,91.608660480231,29.5511808102,53.1921254355315,23.640944636745825,118.204723183729,64.5102276680605,138.89054973089424,242.319682523791
2045-06-26 22:00:00,31.286,54.066,-0.015734,0.063,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.02561466144625,89.885342774824,28.9952718727815,52.1914893486075,23.1962174870257,115.9810874351285,63.29667845843975,136.27777772647624,237.7612292392135
2045-06-26 22:15:00,31.286,54.066,-0.015734,0.063,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.02561466144625,89.885342774824,28.9952718727815,52.1914893486075,23.1962174870257,115.9810874351285,63.29667845843975,136.27777772647624,237.7612292392135
2045-06-26 22:30:00,31.286,54.066,-0.015734,0.063,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.02561466144625,89.885342774824,28.9952718727815,52.1914893486075,23.1962174870257,115.9810874351285,63.29667845843975,136.27777772647624,237.7612292392135
2045-06-26 22:45:00,31.286,54.066,-0.015734,0.063,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.02561466144625,89.885342774824,28.9952718727815,52.1914893486075,23.1962174870257,115.9810874351285,63.29667845843975,136.27777772647624,237.7612292392135
2045-06-26 23:00:00,31.285,54.066,-0.015734,8.021,11.862909546510998,27.153015221378386,39.37321938612705,-0.010222467389325,36.283016571091245,225.0,100.0,33.02561466144625,89.885342774824,28.9952718727815,52.1914893486075,23.1962174870257,115.9810874351285,63.29667845843975,136.27777772647624,237.7612292392135
