block_id,block_start,block_end,block_duration_h,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,opportunity_cost_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-04-20_16:00_20:00,2025-04-20 16:00:00+02:00,2025-04-20 20:00:00+02:00,4.0,22.62,False,False,16,0.0,True,True,False,True,False,15,11,0,-96.18764705882353,199.252,16.0,16.0,1.0,0.0,0.0,16.0,137.77537392045448,16.0,-788.48
2025-04-20_20:00_00:00,2025-04-20 20:00:00+02:00,2025-04-21 00:00:00+02:00,4.0,1.36,False,False,16,0.0,True,True,False,True,False,10,10,0,-100.51764705882354,23.588,16.0,16.0,1.0,0.0,0.0,16.0,160.67333771021725,0.0,0.0
2025-04-21_00:00_04:00,2025-04-21 00:00:00+02:00,2025-04-21 04:00:00+02:00,4.0,3.15,False,False,16,0.0,True,True,False,True,False,8,8,3,-96.60764705882355,4.056,16.0,16.0,1.0,0.0,0.0,16.0,193.47519369380026,0.0,0.0
2025-04-21_04:00_08:00,2025-04-21 04:00:00+02:00,2025-04-21 08:00:00+02:00,4.0,3.1,False,False,16,0.0,True,True,False,True,False,14,14,0,-102.57764705882354,134.932,12.38641806602523,12.0,1.0,0.0,0.0,16.0,282.26903925554757,0.0,0.0
2025-04-21_08:00_12:00,2025-04-21 08:00:00+02:00,2025-04-21 12:00:00+02:00,4.0,28.12,False,False,16,0.0,True,True,False,True,False,12,12,0,-78.26764705882354,344.804,12.38641806602523,12.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-21_12:00_16:00,2025-04-21 12:00:00+02:00,2025-04-21 16:00:00+02:00,4.0,74.93,False,False,16,0.0,True,True,False,True,False,12,10,1,-70.40764705882353,543.464,12.38641806602523,12.0,1.0,0.0,0.0,0.0,336.3863157894737,8.0,-80.92
2025-04-21_16:00_20:00,2025-04-21 16:00:00+02:00,2025-04-21 20:00:00+02:00,4.0,20.34,False,False,16,0.0,True,True,False,True,False,12,12,0,-104.11764705882354,230.292,12.38641806602523,12.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-21_20:00_00:00,2025-04-21 20:00:00+02:00,2025-04-22 00:00:00+02:00,4.0,2.04,False,False,16,0.0,True,True,False,True,False,15,15,0,-82.04764705882354,282.764,12.38641806602523,12.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-22_00:00_04:00,2025-04-22 00:00:00+02:00,2025-04-22 04:00:00+02:00,4.0,3.0,False,False,16,0.0,True,True,False,True,False,13,13,0,-96.86764705882354,0.788,12.38641806602523,12.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-22_04:00_08:00,2025-04-22 04:00:00+02:00,2025-04-22 08:00:00+02:00,4.0,13.32,False,False,16,0.0,True,True,False,True,False,15,15,0,-107.21764705882353,294.292,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-22_08:00_12:00,2025-04-22 08:00:00+02:00,2025-04-22 12:00:00+02:00,4.0,20.0,False,False,16,0.0,True,True,False,True,False,16,16,0,-73.51764705882354,257.26,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-22_12:00_16:00,2025-04-22 12:00:00+02:00,2025-04-22 16:00:00+02:00,4.0,52.21,False,False,16,0.0,True,True,False,True,False,15,15,0,-92.88764705882355,355.752,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-22_16:00_20:00,2025-04-22 16:00:00+02:00,2025-04-22 20:00:00+02:00,4.0,14.94,False,False,16,0.0,True,True,False,True,False,10,10,2,-113.76764705882354,135.572,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-22_20:00_00:00,2025-04-22 20:00:00+02:00,2025-04-23 00:00:00+02:00,4.0,1.3,False,False,16,0.0,True,True,False,True,False,14,14,0,-95.65764705882353,36.916,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
